experiment_id,hypothesis_id,client_vertical,journey_stage,primary_kpi,control_n,variant_n,control_conversions,variant_conversions,control_rate,variant_rate,relative_lift_pct,coefficient_lift_pp,ci_low_pp,ci_high_pp,z_score,p_value,decision,business_interpretation
EXP-001,HYP-015,B2C retail,Retention,repeat_engagement_rate,22422,23652,1639,2030,0.0731,0.0858,17.4,1.27,0.78,1.77,5.04,0.0,Scale,Variant improves repeat engagement rate by 1.27 points with enough evidence to brief stakeholders on rollout.
EXP-002,HYP-014,Financial services,Retention,repeat_engagement_rate,19855,20531,548,652,0.0276,0.0318,15.1,0.42,0.08,0.75,2.46,0.0139,Scale,Variant improves repeat engagement rate by 0.42 points with enough evidence to brief stakeholders on rollout.
EXP-003,HYP-025,Higher education,Consideration,lead_start_rate,30505,29587,1525,1508,0.05,0.051,2.0,0.1,-0.25,0.45,0.55,0.5846,Learn,Result is inconclusive. Convert the readout into a learning and prioritize a sharper follow-up test.
EXP-004,HYP-032,Financial services,Retention,repeat_engagement_rate,21723,21265,625,694,0.0288,0.0326,13.4,0.39,0.06,0.71,2.32,0.0202,Scale,Variant improves repeat engagement rate by 0.39 points with enough evidence to brief stakeholders on rollout.
EXP-005,HYP-011,High-tech,Retention,repeat_engagement_rate,22051,22632,709,790,0.0322,0.0349,8.6,0.28,-0.06,0.61,1.62,0.1061,Learn,Result is inconclusive. Convert the readout into a learning and prioritize a sharper follow-up test.
EXP-006,HYP-022,B2C retail,Retention,repeat_engagement_rate,21807,21440,1641,1726,0.0753,0.0805,7.0,0.53,0.02,1.03,2.04,0.0415,Scale,Variant improves repeat engagement rate by 0.53 points with enough evidence to brief stakeholders on rollout.
EXP-007,HYP-036,B2C retail,Conversion,application_submit_rate,14591,14583,927,969,0.0635,0.0664,4.6,0.29,-0.27,0.86,1.01,0.3126,Learn,Result is inconclusive. Convert the readout into a learning and prioritize a sharper follow-up test.
EXP-008,HYP-026,High-tech,Conversion,application_submit_rate,32214,32354,1262,1446,0.0392,0.0447,14.1,0.55,0.24,0.86,3.5,0.0005,Scale,Variant improves application submit rate by 0.55 points with enough evidence to brief stakeholders on rollout.
EXP-009,HYP-031,High-tech,Awareness,qualified_visit_rate,22577,22159,527,557,0.0233,0.0251,7.7,0.18,-0.11,0.46,1.23,0.2172,Learn,Result is inconclusive. Convert the readout into a learning and prioritize a sharper follow-up test.
EXP-010,HYP-006,Financial services,Retention,repeat_engagement_rate,13224,13727,345,412,0.0261,0.03,15.0,0.39,-0.0,0.79,1.95,0.0512,Validate,"Directional lift in repeat engagement rate, but the confidence band is still wide. Extend or retest before scaling."
EXP-011,HYP-007,Healthcare,Awareness,qualified_visit_rate,30539,30408,1014,1084,0.0332,0.0356,7.4,0.24,-0.04,0.53,1.66,0.0978,Validate,"Directional lift in qualified visit rate, but the confidence band is still wide. Extend or retest before scaling."
EXP-012,HYP-030,Higher education,Conversion,application_submit_rate,19692,20441,988,1187,0.0502,0.0581,15.7,0.79,0.35,1.23,3.49,0.0005,Scale,Variant improves application submit rate by 0.79 points with enough evidence to brief stakeholders on rollout.
EXP-013,HYP-035,Healthcare,Consideration,lead_start_rate,22197,22681,635,722,0.0286,0.0318,11.3,0.32,0.01,0.64,1.99,0.046,Scale,Variant improves lead start rate by 0.32 points with enough evidence to brief stakeholders on rollout.
EXP-014,HYP-003,High-tech,Consideration,lead_start_rate,23820,23791,1096,1160,0.046,0.0488,6.0,0.27,-0.11,0.66,1.41,0.1585,Learn,Result is inconclusive. Convert the readout into a learning and prioritize a sharper follow-up test.
EXP-015,HYP-009,Healthcare,Awareness,qualified_visit_rate,18187,19576,514,566,0.0283,0.0289,2.3,0.07,-0.27,0.4,0.38,0.7045,Learn,Result is inconclusive. Convert the readout into a learning and prioritize a sharper follow-up test.
EXP-016,HYP-005,Healthcare,Retention,repeat_engagement_rate,29273,29850,991,1097,0.0339,0.0368,8.6,0.29,-0.01,0.59,1.91,0.0564,Validate,"Directional lift in repeat engagement rate, but the confidence band is still wide. Extend or retest before scaling."
EXP-017,HYP-013,Higher education,Awareness,qualified_visit_rate,19563,19124,1075,1099,0.055,0.0575,4.6,0.25,-0.21,0.71,1.07,0.2826,Learn,Result is inconclusive. Convert the readout into a learning and prioritize a sharper follow-up test.
EXP-018,HYP-020,Higher education,Consideration,lead_start_rate,15027,15101,642,737,0.0427,0.0488,14.2,0.61,0.14,1.08,2.53,0.0116,Scale,Variant improves lead start rate by 0.61 points with enough evidence to brief stakeholders on rollout.
